Con modulo			Senza modulo				Con	Senza		Sottratti			Scarto quadratico	
0.807612	3.63483	4.08986	0.822928	3.60721	4.07145		20.26816109	20.24999958		0.018161091	-4.20216E-07		0.000329825	1.76581E-13
0.730752	3.63245	4.54413	0.754568	3.58449	4.52815		20.30448894	20.25000385		0.054488945	3.84922E-06		0.002969045	1.48165E-11
0.705084	3.63112	5	0.731027	3.57667	5		20.3201359	20.24999876		0.070135901	-1.23637E-06		0.004919045	1.52861E-12
0.730752	3.63245	5.45587	0.754568	3.58449	5.47185		20.30448894	20.25000385		0.054488945	3.84922E-06		0.002969045	1.48165E-11
0.807612	3.63483	5.91014	0.822928	3.60721	5.92855		20.26816109	20.24999958		0.018161091	-4.20216E-07		0.000329825	1.76581E-13
0.807612	4.08986	3.63483	0.822928	4.07145	3.60721		20.26816109	20.24999958		0.018161091	-4.20216E-07		0.000329825	1.76581E-13
0.679466	4.08625	4.08625	0.707098	4.0458	4.0458		20.33689217	20.25000286		0.08689217	2.8616E-06		0.007550249	8.18878E-12
0.603403	4.08013	4.54005	0.632813	4.02936	4.51468		20.38778	20.2499998		0.13778	-1.95031E-07		0.018983328	3.80371E-14
0.578747	4.07648	5	0.607185	4.02369	5		20.40036728	20.25000484		0.15036728	4.84032E-06		0.022610319	2.34287E-11
0.603403	4.08013	5.45995	0.632813	4.02936	5.48532		20.38778	20.2499998		0.13778	-1.95031E-07		0.018983328	3.80371E-14
0.679466	4.08625	5.91375	0.707098	4.0458	5.9542		20.33689217	20.25000286		0.08689217	2.8616E-06		0.007550249	8.18878E-12
0.807612	4.08986	6.36517	0.822928	4.07145	6.39279		20.26816109	20.24999958		0.018161091	-4.20216E-07		0.000329825	1.76581E-13
0.730752	4.54413	3.63245	0.754568	4.52815	3.58449		20.30448894	20.25000385		0.054488945	3.84922E-06		0.002969045	1.48165E-11
0.603403	4.54005	4.08013	0.632813	4.51468	4.02936		20.38778	20.2499998		0.13778	-1.95031E-07		0.018983328	3.80371E-14
0.53239	4.53162	4.53162	0.554555	4.50603	4.50603		20.39829876	20.24999397		0.148298761	-6.03018E-06		0.021992522	3.6363E-11
0.512596	4.52466	5	0.527525	4.50304	5		20.36274277	20.25000187		0.112742775	1.86723E-06		0.012710933	3.48653E-12
0.53239	4.53162	5.46838	0.554555	4.50603	5.49397		20.39829876	20.24999397		0.148298761	-6.03018E-06		0.021992522	3.6363E-11
0.603403	4.54005	5.91987	0.632813	4.51468	5.97064		20.38778	20.2499998		0.13778	-1.95031E-07		0.018983328	3.80371E-14
0.730752	4.54413	6.36755	0.754568	4.52815	6.41551		20.30448894	20.25000385		0.054488945	3.84922E-06		0.002969045	1.48165E-11
0.705084	5	3.63112	0.731027	5	3.57667		20.3201359	20.24999876		0.070135901	-1.23637E-06		0.004919045	1.52861E-12
0.578747	5	4.07648	0.607185	5	4.02369		20.40036728	20.25000484		0.15036728	4.84032E-06		0.022610319	2.34287E-11
0.512596	5	4.52466	0.527525	5	4.50304		20.36274277	20.25000187		0.112742775	1.86723E-06		0.012710933	3.48653E-12
0.512596	5	5.47534	0.527525	5	5.49696		20.36274277	20.25000187		0.112742775	1.86723E-06		0.012710933	3.48653E-12
0.578747	5	5.92352	0.607185	5	5.97631		20.40036728	20.25000484		0.15036728	4.84032E-06		0.022610319	2.34287E-11
0.705084	5	6.36888	0.731027	5	6.42333		20.3201359	20.24999876		0.070135901	-1.23637E-06		0.004919045	1.52861E-12
0.730752	5.45587	3.63245	0.754568	5.47185	3.58449		20.30448894	20.25000385		0.054488945	3.84922E-06		0.002969045	1.48165E-11
0.603403	5.45995	4.08013	0.632813	5.48532	4.02936		20.38778	20.2499998		0.13778	-1.95031E-07		0.018983328	3.80371E-14
0.53239	5.46838	4.53162	0.554555	5.49397	4.50603		20.39829876	20.24999397		0.148298761	-6.03018E-06		0.021992522	3.6363E-11
0.512596	5.47534	5	0.527525	5.49696	5		20.36274277	20.25000187		0.112742775	1.86723E-06		0.012710933	3.48653E-12
0.53239	5.46838	5.46838	0.554555	5.49397	5.49397		20.39829876	20.24999397		0.148298761	-6.03018E-06		0.021992522	3.6363E-11
0.603403	5.45995	5.91987	0.632813	5.48532	5.97064		20.38778	20.2499998		0.13778	-1.95031E-07		0.018983328	3.80371E-14
0.730752	5.45587	6.36755	0.754568	5.47185	6.41551		20.30448894	20.25000385		0.054488945	3.84922E-06		0.002969045	1.48165E-11
0.807612	5.91014	3.63483	0.822928	5.92855	3.60721		20.26816109	20.24999958		0.018161091	-4.20216E-07		0.000329825	1.76581E-13
0.679466	5.91375	4.08625	0.707098	5.9542	4.0458		20.33689217	20.25000286		0.08689217	2.8616E-06		0.007550249	8.18878E-12
0.603403	5.91987	4.54005	0.632813	5.97064	4.51468		20.38778	20.2499998		0.13778	-1.95031E-07		0.018983328	3.80371E-14
0.578747	5.92352	5	0.607185	5.97631	5		20.40036728	20.25000484		0.15036728	4.84032E-06		0.022610319	2.34287E-11
0.603403	5.91987	5.45995	0.632813	5.97064	5.48532		20.38778	20.2499998		0.13778	-1.95031E-07		0.018983328	3.80371E-14
0.679466	5.91375	5.91375	0.707098	5.9542	5.9542		20.33689217	20.25000286		0.08689217	2.8616E-06		0.007550249	8.18878E-12
0.807612	5.91014	6.36517	0.822928	5.92855	6.39279		20.26816109	20.24999958		0.018161091	-4.20216E-07		0.000329825	1.76581E-13
0.807612	6.36517	4.08986	0.822928	6.39279	4.07145		20.26816109	20.24999958		0.018161091	-4.20216E-07		0.000329825	1.76581E-13
0.730752	6.36755	4.54413	0.754568	6.41551	4.52815		20.30448894	20.25000385		0.054488945	3.84922E-06		0.002969045	1.48165E-11
0.705084	6.36888	5	0.731027	6.42333	5		20.3201359	20.24999876		0.070135901	-1.23637E-06		0.004919045	1.52861E-12
0.730752	6.36755	5.45587	0.754568	6.41551	5.47185		20.30448894	20.25000385		0.054488945	3.84922E-06		0.002969045	1.48165E-11
0.807612	6.36517	5.91014	0.822928	6.39279	5.92855		20.26816109	20.24999958		0.018161091	-4.20216E-07		0.000329825	1.76581E-13
1.24609	2.69259	4.07694	1.26717	2.66661	4.06656		20.26802096	20.25003893		0.01802096	3.89346E-05		0.000324755	1.5159E-09
1.16654	2.67409	4.53477	1.20541	2.62808	4.52558		20.32171185	20.24999209		0.071711853	-7.9091E-06		0.00514259	6.25539E-11
1.14953	2.65724	5	1.18413	2.6148	5		20.31464364	20.2500429		0.064643639	4.28969E-05		0.0041788	1.84014E-09
0.883865	3.18107	5	0.888067	3.17188	5		20.25107368	20.25001573		0.001073683	1.57309E-05		1.1528E-06	2.47461E-10
1.16654	2.67409	5.46523	1.20541	2.62808	5.47442		20.32171185	20.24999209		0.071711853	-7.9091E-06		0.00514259	6.25539E-11
1.24609	2.69259	5.92306	1.26717	2.66661	5.93344		20.26802096	20.25003893		0.01802096	3.89346E-05		0.000324755	1.5159E-09
1.14065	3.13221	3.59912	1.18417	3.09181	3.56883		20.34568668	20.24999523		0.095686681	-4.7661E-06		0.009155941	2.27157E-11
1.04203	3.04935	4.05116	1.07214	3.03595	4.01796		20.37085929	20.24997914		0.120859289	-2.08563E-05		0.014606968	4.34985E-10
0.807612	3.63483	4.08986	0.822928	3.60721	4.07145		20.26816109	20.24999958		0.018161091	-4.20216E-07		0.000329825	1.76581E-13
0.730752	3.63245	4.54413	0.754568	3.58449	4.52815		20.30448894	20.25000385		0.054488945	3.84922E-06		0.002969045	1.48165E-11
0.883865	3.18107	5	0.888067	3.17188	5		20.25107368	20.25001573		0.001073683	1.57309E-05		1.1528E-06	2.47461E-10
0.972953	2.9933	5	0.975059	2.98758	5		20.24395243	20.24998431		-0.00604757	-1.56901E-05		3.65731E-05	2.4618E-10
0.705084	3.63112	5	0.731027	3.57667	5		20.3201359	20.24999876		0.070135901	-1.23637E-06		0.004919045	1.52861E-12
0.730752	3.63245	5.45587	0.754568	3.58449	5.47185		20.30448894	20.25000385		0.054488945	3.84922E-06		0.002969045	1.48165E-11
0.883865	3.18107	5	0.888067	3.17188	5		20.25107368	20.25001573		0.001073683	1.57309E-05		1.1528E-06	2.47461E-10
1.04203	3.04935	5.94884	1.07214	3.03595	5.98204		20.37085929	20.24997914		0.120859289	-2.08563E-05		0.014606968	4.34985E-10
0.807612	3.63483	5.91014	0.822928	3.60721	5.92855		20.26816109	20.24999958		0.018161091	-4.20216E-07		0.000329825	1.76581E-13
1.14065	3.13221	6.40088	1.18417	3.09181	6.43117		20.34568668	20.24999523		0.095686681	-4.7661E-06		0.009155941	2.27157E-11
